country,average_adults,average_stay
FRO,3.0,12.0
SEN,1.6666666666666667,9.333333333333334
TGO,2.0,8.0
AGO,1.536741214057508,7.744408945686901
GNB,1.2222222222222223,7.111111111111112
BHS,2.0,7.0
SLE,2.0,7.0
PLW,2.0,7.0
RWA,1.5,6.5
CPV,1.7916666666666667,6.083333333333334
SAU,1.8,6.0
MRT,2.0,6.0
GHA,2.0,5.75
IRL,1.9437380801017166,5.109345200254291
LCA,2.0,5.0
OMN,1.9230769230769231,5.0
GEO,1.95,4.85
GBR,1.9102335532180423,4.811731146371903
LTU,1.855263157894737,4.7631578947368425
PAK,1.75,4.75
EST,1.8767123287671232,4.726027397260275
LKA,1.4285714285714286,4.714285714285714
ETH,2.0,4.666666666666667
LVA,1.8333333333333333,4.583333333333333
ARE,1.8205128205128205,4.487179487179487
ROU,1.9174528301886793,4.4245283018867925
ISL,1.8545454545454545,4.363636363636363
AZE,2.1666666666666665,4.333333333333333
NOR,1.945631067961165,4.328155339805825
SUR,2.0,4.25
KEN,2.25,4.25
EGY,1.5714285714285714,4.25
CMR,2.0,4.222222222222222
FIN,1.8534704370179949,4.156812339331619
MOZ,1.796875,4.140625
PAN,2.111111111111111,4.111111111111111
GRC,1.6694214876033058,4.099173553719009
DZA,1.6041666666666667,4.09375
BLR,1.64,4.04
CN,1.9515306122448979,4.030612244897959
POL,1.900889453621347,4.019059720457434
DMA,2.0,4.0
CYM,2.0,4.0
NCL,2.0,4.0
NAM,2.0,4.0
KIR,1.0,4.0
KHM,2.0,4.0
DNK,1.954177897574124,3.9892183288409706
NGA,1.6923076923076923,3.9615384615384617
MAR,1.8131313131313131,3.904040404040404
SWE,1.8164835164835165,3.8945054945054944
JEY,2.142857142857143,3.857142857142857
CIV,1.8333333333333333,3.8333333333333335
IRN,1.8732394366197183,3.816901408450704
HRV,1.8181818181818181,3.806818181818182
DOM,1.8888888888888888,3.7777777777777777
RUS,1.868705035971223,3.773381294964029
JAM,2.0,3.75
AND,2.0,3.75
ARM,1.8571428571428572,3.7142857142857144
TUN,1.8823529411764706,3.7058823529411766
NLD,1.8742797276060765,3.70455735987428
LUX,1.9079497907949792,3.6820083682008367
AUT,1.9090909090909092,3.6691919191919196
MNE,1.3333333333333333,3.6666666666666665
BEL,1.969325153374233,3.6602170835299668
UKR,1.8387096774193548,3.596774193548387
CHE,1.9466840052015604,3.5767230169050714
HUN,1.883495145631068,3.5533980582524274
BGR,1.791044776119403,3.5522388059701493
DEU,1.8813926610806126,3.5397284021958972
ABW,2.5,3.5
TMP,2.5,3.5
ECU,1.8571428571428572,3.4761904761904763
FRA,1.949452401010952,3.4714616680707664
MLT,1.7647058823529411,3.4705882352941178
CYP,1.5,3.4375
SVK,1.8644067796610169,3.4237288135593222
BRA,2.012565445026178,3.4151832460732985
CZE,1.813664596273292,3.403726708074534
KWT,2.125,3.375
IDN,1.8125,3.375
ALB,1.7272727272727273,3.3636363636363638
CHL,1.9824561403508771,3.3508771929824563
VEN,1.8695652173913044,3.3478260869565215
QAT,2.1666666666666665,3.3333333333333335
MDV,1.7777777777777777,3.3333333333333335
