agent,year,month,bookings,stays,cancellations,total_nights_stayed,total_weekend_nights_stayed,total_week_nights_stayed,average_lead_time,average_booking_changes,no_deposit,non_refund,refundable,bb,hb,fb,no_meal,parking_required,special_requests,check_out,cancelled,no_show,adr,online,offline,groups_ms,direct_ms,corporate_ms,ta_to,direct_dc,corporate_dc,gds,repeated_guests,previous_cancellations,previous_bookings,transients,transient_parties,contracts,groups,city,resort,adults,children,babies,guests
26,2015,October,68,68,0,223,65,158,50.5,0.10294117647058823,68,0,0,19,49,0,0,1,4,68,0,0,90.0126457399103,0,68,0,0,0,68,0,0,0,0,0,0,4,61,3,0,61,7,121,0.0,0,121.0
143,2016,September,18,17,1,156,48,108,269.3888888888889,0.4444444444444444,18,0,0,7,11,0,0,0,14,17,1,0,81.3473076923077,0,18,0,0,0,18,0,0,0,0,0,0,12,0,6,0,0,18,36,0.0,0,36.0
531,2017,June,35,14,21,259,76,183,46.57142857142857,0.05714285714285714,35,0,0,26,9,0,0,0,28,14,20,1,105.80444015444014,0,15,0,0,20,15,0,20,0,0,0,0,35,0,0,0,0,35,69,0.0,0,69.0
96,2017,August,11,9,2,73,20,53,157.45454545454547,0.18181818181818182,11,0,0,5,3,0,3,4,12,9,2,0,164.2823287671233,0,11,0,0,0,11,0,0,0,0,0,0,10,0,0,1,0,11,20,4.0,3,27.0
156,2016,February,10,10,0,44,17,27,15.8,0.0,10,0,0,6,4,0,0,2,1,10,0,0,50.27181818181818,0,10,0,0,0,10,0,0,0,0,0,0,8,2,0,0,0,10,19,0.0,0,19.0
327,2016,August,5,5,0,5,0,5,63.0,0.0,5,0,0,5,0,0,0,0,8,5,0,0,112.0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,9,0.0,0,9.0
177,2016,August,1,1,0,4,1,3,219.0,0.0,1,0,0,1,0,0,0,0,1,1,0,0,64.8,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
3,2017,February,70,5,65,141,133,8,63.5,0.0,5,65,0,70,0,0,0,0,0,5,65,0,79.0,0,5,65,0,0,70,0,0,0,0,0,0,68,2,0,0,68,2,136,0.0,0,136.0
315,2017,February,1,1,0,5,1,4,5.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,34.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0,1.0
27,2015,August,13,10,3,51,15,36,42.46153846153846,0.07692307692307693,13,0,0,13,0,0,0,0,3,10,1,2,63.36588235294117,0,13,0,0,0,13,0,0,0,0,0,0,13,0,0,0,13,0,26,0.0,0,26.0
14,2017,January,112,92,20,315,82,233,48.598214285714285,0.6875,112,0,0,95,11,0,6,11,60,92,18,2,108.71222222222224,0,0,0,112,0,0,112,0,0,2,0,3,111,0,0,1,112,0,207,25.0,4,236.0
85,2017,April,21,19,2,61,20,41,63.76190476190476,0.14285714285714285,21,0,0,15,0,0,6,1,12,19,2,0,93.84754098360654,4,17,0,0,0,21,0,0,0,0,0,0,21,0,0,0,21,0,41,0.0,0,41.0
227,2016,July,1,1,0,1,0,1,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,79.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
157,2017,August,1,1,0,4,1,3,102.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,108.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0,1.0
40,2015,July,25,22,3,231,69,162,206.0,0.0,25,0,0,14,11,0,0,0,6,22,3,0,101.36510822510823,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,25,50,1.0,0,51.0
2,2015,July,6,4,2,39,12,27,223.83333333333334,0.0,6,0,0,4,2,0,0,0,2,4,2,0,75.37820512820512,0,5,0,1,0,5,1,0,0,0,1,0,2,0,4,0,0,6,11,0.0,0,11.0
243,2015,October,40,40,0,301,86,215,70.4,0.125,40,0,0,33,7,0,0,2,36,40,0,0,52.791627906976764,0,40,0,0,0,40,0,0,0,0,0,0,21,2,17,0,0,40,79,2.0,1,82.0
196,2016,March,30,27,3,80,23,57,17.766666666666666,0.3,30,0,0,19,9,0,2,2,9,27,3,0,48.14525,4,26,0,0,0,30,0,0,0,1,0,0,28,2,0,0,0,30,56,9.0,3,68.0
175,2016,October,6,1,5,45,12,33,167.0,0.0,6,0,0,5,0,1,0,0,0,1,5,0,43.146888888888896,2,4,0,0,0,6,0,0,0,0,1,0,6,0,0,0,0,6,11,0.0,0,11.0
240,2017,February,544,350,194,1737,534,1203,47.60845588235294,0.24448529411764705,544,0,0,477,67,0,0,66,586,350,185,9,62.90605641911344,544,0,0,0,0,538,6,0,0,25,0,45,452,90,0,2,0,544,1033,97.0,6,1136.0
348,2017,June,9,2,7,17,0,17,1.5555555555555556,0.0,9,0,0,9,0,0,0,0,1,2,7,0,112.23529411764706,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9,12,0.0,0,12.0
8,2017,August,60,32,28,277,85,192,148.9,0.08333333333333333,59,0,1,36,8,1,15,4,47,32,27,1,170.56028880866427,49,11,0,0,0,60,0,0,0,0,0,0,60,0,0,0,49,11,123,26.0,0,149.0
253,2015,July,1,1,0,4,0,4,126.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,62.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
68,2015,October,27,0,27,81,27,54,247.0,0.0,0,27,0,0,0,27,0,0,0,0,27,0,76.4074074074074,0,0,27,0,0,27,0,0,0,0,27,0,27,0,0,0,0,27,52,0.0,0,52.0
139,2016,April,1,0,1,3,1,2,4.0,2.0,1,0,0,1,0,0,0,0,0,0,1,0,67.5,0,0,0,0,1,0,0,1,0,1,0,2,1,0,0,0,0,1,1,0.0,0,1.0
418,2017,March,1,1,0,9,4,5,24.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,61.330000000000005,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
155,2016,April,1,0,1,3,0,3,55.0,1.0,1,0,0,1,0,0,0,0,1,0,0,1,118.33,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0.0,0,2.0
27,2016,November,12,11,1,41,10,31,43.25,0.08333333333333333,12,0,0,12,0,0,0,0,3,11,1,0,72.3609756097561,0,12,0,0,0,12,0,0,0,0,0,0,12,0,0,0,12,0,20,0.0,0,20.0
58,2017,April,115,12,103,398,201,197,148.87826086956522,0.017391304347826087,32,83,0,115,0,0,0,0,14,12,103,0,104.2964824120603,0,61,54,0,0,115,0,0,0,0,0,0,83,32,0,0,115,0,224,0.0,0,224.0
147,2015,October,11,11,0,76,25,51,75.54545454545455,0.18181818181818182,11,0,0,9,2,0,0,0,8,11,0,0,53.46026315789473,9,2,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,11,22,2.0,0,24.0
240,2016,June,547,312,235,2651,706,1945,115.6946983546618,0.1809872029250457,537,10,0,512,35,0,0,101,418,312,230,5,114.07622783855147,547,0,0,0,0,546,1,0,0,6,4,9,494,52,0,1,0,547,1093,138.0,3,1234.0
241,2016,October,69,56,13,253,80,173,65.76811594202898,0.043478260869565216,69,0,0,62,6,0,1,14,77,56,12,1,57.6186166007905,69,0,0,0,0,67,0,2,0,1,0,2,69,0,0,0,0,69,134,6.0,1,141.0
8,2017,February,26,19,7,83,23,60,56.46153846153846,0.11538461538461539,26,0,0,19,0,0,7,1,17,19,6,1,100.62710843373493,22,4,0,0,0,26,0,0,0,1,0,1,26,0,0,0,22,4,49,6.0,0,55.0
446,2016,September,1,1,0,3,1,2,8.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,103.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0.0,0,2.0
168,2016,November,4,4,0,9,3,6,51.25,0.5,4,0,0,4,0,0,0,0,1,4,0,0,66.0,0,4,0,0,0,4,0,0,0,1,0,4,3,0,0,1,3,1,7,0.0,0,7.0
