company,year,month,bookings,stays,cancellations,total_nights_stayed,total_weekend_nights_stayed,total_week_nights_stayed,average_lead_time,average_booking_changes,no_deposit,non_refund,refundable,bb,hb,fb,no_meal,parking_required,special_requests,check_out,cancelled,no_show,adr,online,offline,groups_ms,direct_ms,corporate_ms,ta_to,direct_dc,corporate_dc,gds,repeated_guests,previous_cancellations,previous_bookings,transients,transient_parties,contracts,groups,city,resort,adults,children,babies,guests
360,2016,February,2,2,0,2,0,2,36.5,0.0,2,0,0,2,0,0,0,0,0,2,0,0,55.5,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,2,3,0.0,0,3.0
113,2016,October,2,2,0,3,1,2,20.5,0.0,2,0,0,2,0,0,0,0,0,2,0,0,45.0,0,0,0,0,2,0,0,2,0,1,1,5,2,0,0,0,0,2,2,0.0,0,2.0
219,2016,September,8,8,0,9,0,9,5.375,0.125,8,0,0,8,0,0,0,2,7,8,0,0,101.11111111111111,0,0,0,0,8,0,0,8,0,8,0,25,8,0,0,0,8,0,8,0.0,0,8.0
227,2016,July,2,2,0,2,0,2,6.0,0.0,2,0,0,2,0,0,0,0,0,2,0,0,79.0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,2,0.0,0,2.0
530,2017,April,2,2,0,2,0,2,2.0,0.0,2,0,0,2,0,0,0,2,0,2,0,0,72.0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0.0,0,2.0
274,2017,March,2,2,0,2,0,2,3.0,0.0,2,0,0,2,0,0,0,0,0,2,0,0,35.0,0,0,0,0,2,0,0,2,0,1,0,5,2,0,0,0,0,2,2,0.0,0,2.0
380,2016,November,1,1,0,2,0,2,6.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,30.0,0,0,0,0,1,0,0,1,0,1,0,8,1,0,0,0,0,1,1,0.0,0,1.0
113,2016,May,2,2,0,3,0,3,1.5,0.0,2,0,0,2,0,0,0,2,1,2,0,0,65.53333333333333,0,0,0,0,2,0,0,2,0,2,0,3,2,0,0,0,0,2,3,0.0,0,3.0
169,2016,April,2,2,0,2,0,2,4.0,1.5,2,0,0,2,0,0,0,2,0,2,0,0,55.0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,3,1.0,0,4.0
40,2015,July,4,4,0,7,1,6,1.25,1.0,4,0,0,4,0,0,0,0,0,4,0,0,65.0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,4,0,4,0.0,0,4.0
348,2017,June,35,0,35,140,0,140,156.37142857142857,0.0,0,35,0,35,0,0,0,0,0,0,35,0,110.28571428571429,0,0,0,0,35,35,0,0,0,0,0,0,35,0,0,0,35,0,36,0.0,0,36.0
62,2016,July,5,5,0,8,3,5,7.8,0.0,5,0,0,5,0,0,0,0,0,5,0,0,79.0,0,0,0,0,5,0,0,5,0,0,0,0,3,2,0,0,5,0,5,0.0,0,5.0
9,2017,April,1,1,0,1,0,1,6.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,48.0,0,0,0,0,1,0,0,1,0,0,0,11,1,0,0,0,0,1,1,0.0,0,1.0
338,2017,May,1,1,0,2,0,2,22.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,78.5,0,0,0,0,1,0,0,1,0,1,0,12,1,0,0,0,0,1,1,0.0,0,1.0
