customer_type,year,month,bookings,stays,cancellations,total_nights_stayed,total_weekend_nights_stayed,total_week_nights_stayed,average_lead_time,average_booking_changes,no_deposit,non_refund,refundable,bb,hb,fb,no_meal,parking_required,special_requests,check_out,cancelled,no_show,adr,online,offline,groups_ms,direct_ms,corporate_ms,ta_to,direct_dc,corporate_dc,gds,repeated_guests,previous_cancellations,previous_bookings,city,resort,adults,children,babies,guests
Group,2017,July,14,14,0,49,13,36,125.92857142857143,0.5,14,0,0,10,2,0,2,0,16,14,0,0,141.83061224489796,7,2,0,4,1,10,3,1,0,5,0,18,8,6,26,2.0,0,28.0
Contract,2016,July,100,83,17,796,233,563,210.6,0.2,100,0,0,66,29,0,5,7,58,83,16,1,99.44207286432159,26,74,0,0,0,100,0,0,0,0,9,0,27,73,203,9.0,0,212.0
Contract,2017,March,22,20,2,107,30,77,42.86363636363637,0.3181818181818182,22,0,0,16,6,0,0,0,7,20,2,0,73.03429906542056,0,22,0,0,0,22,0,0,0,0,0,0,14,8,43,2.0,1,46.0
Transient,2015,December,2092,1317,775,6255,1682,4573,48.645793499043975,0.16873804971319312,1608,484,0,1785,181,52,74,195,1047,1317,728,47,74.49820303756995,724,647,174,391,119,1521,454,117,0,99,418,200,1154,938,3714,175.0,39,3928.0
Group,2016,April,13,12,1,35,9,26,100.61538461538461,0.46153846153846156,13,0,0,13,0,0,0,1,10,12,1,0,72.54285714285714,6,2,0,5,0,8,5,0,0,3,0,12,7,6,23,3.0,0,26.0
Contract,2015,August,497,276,221,1754,466,1288,136.19315895372233,0.0744466800804829,317,180,0,438,15,1,43,27,379,276,219,2,94.15392246294184,234,82,180,1,0,494,3,0,0,1,182,0,415,82,960,70.0,5,1035.0
Contract,2016,January,23,12,11,152,46,106,76.34782608695652,0.17391304347826086,23,0,0,17,4,0,2,1,17,12,11,0,68.09105263157892,17,6,0,0,0,23,0,0,0,0,11,0,20,3,44,5.0,0,49.0
Group,2017,January,31,31,0,71,23,48,39.483870967741936,0.41935483870967744,31,0,0,27,0,0,4,3,28,31,0,0,59.500422535211264,16,3,2,8,1,24,7,0,0,13,2,44,14,17,51,3.0,0,54.0
Transient,2017,June,4822,2528,2294,17606,4512,13094,123.30651182082124,0.19141435089174616,3993,829,0,3699,413,6,704,272,3046,2528,2261,33,128.13989151425645,2848,748,441,541,166,4059,582,162,19,154,83,966,3444,1378,9174,581.0,25,9780.0
Transient,2017,July,4536,2664,1872,18090,5295,12795,132.64550264550263,0.24801587301587302,4364,163,9,3192,591,15,738,257,3661,2664,1845,27,153.17136042012172,3262,380,126,630,115,3776,642,118,0,101,75,883,3005,1531,9176,1075.0,35,10286.0
Contract,2017,June,149,119,30,1414,419,995,240.04697986577182,0.06040268456375839,148,0,1,87,58,1,3,0,74,119,30,0,81.54371287128717,0,149,0,0,0,149,0,0,0,1,0,0,2,147,293,4.0,0,297.0
Transient-Party,2016,November,432,299,133,962,207,755,72.36805555555556,0.2962962962962963,423,7,2,406,23,0,3,20,163,299,131,2,69.80128898128898,90,67,199,24,46,303,62,67,0,7,12,93,263,169,683,13.0,0,696.0
Transient-Party,2015,September,1977,1257,720,5525,1577,3948,148.350531107739,0.20738492665655034,1671,305,1,1319,649,1,8,11,186,1257,719,1,85.64546606334848,78,851,950,27,71,1857,36,84,0,22,1029,3,1649,328,3490,6.0,1,3497.0
Group,2017,August,36,29,7,206,53,153,54.5,0.3055555555555556,36,0,0,27,8,0,1,4,29,29,7,0,143.49815533980583,2,27,0,5,2,30,4,2,0,6,0,9,6,30,72,7.0,0,79.0
Transient-Party,2016,April,1318,1069,249,4030,1077,2953,110.8277693474962,0.3975720789074355,1253,65,0,708,494,3,113,35,377,1069,242,7,75.8296724565757,228,416,575,48,47,1125,138,55,0,29,249,313,749,569,2346,38.0,1,2385.0
Transient,2017,August,4191,2451,1740,16796,4452,12344,125.93748508709139,0.2791696492483894,4119,69,3,2862,637,35,657,280,3963,2451,1716,24,173.8412092164803,3089,398,27,606,58,3514,611,62,4,93,49,520,2673,1518,8563,1129.0,38,9730.0
Group,2016,October,23,23,0,62,19,43,80.04347826086956,0.34782608695652173,23,0,0,20,2,0,1,2,13,23,0,0,63.23161290322581,7,9,2,3,2,17,4,2,0,5,1,30,9,14,36,0.0,0,36.0
Group,2015,December,24,19,5,72,17,55,45.916666666666664,0.5416666666666666,24,0,0,18,3,0,3,2,12,19,5,0,74.29569444444445,5,15,0,4,0,20,4,0,0,1,5,5,17,7,47,0.0,0,47.0
