date,stays,cancellations,cancellationRate
2015-07-01,103,19,0.1557377049180328
2015-07-02,36,57,0.6129032258064516
2015-07-03,37,19,0.3392857142857143
2015-07-04,45,43,0.48863636363636365
2015-07-05,37,16,0.3018867924528302
2015-07-06,41,34,0.4533333333333333
2015-07-07,29,25,0.46296296296296297
2015-07-08,45,24,0.34782608695652173
2015-07-09,29,51,0.6375
2015-07-10,42,9,0.17647058823529413
2015-07-11,61,42,0.4077669902912621
2015-07-12,37,26,0.4126984126984127
2015-07-13,39,45,0.5357142857142857
2015-07-14,24,11,0.3142857142857143
2015-07-15,54,48,0.47058823529411764
2015-07-16,41,62,0.6019417475728155
2015-07-17,106,45,0.2980132450331126
2015-07-18,77,78,0.5032258064516129
2015-07-19,36,18,0.3333333333333333
2015-07-20,53,72,0.576
2015-07-21,27,44,0.6197183098591549
2015-07-22,43,84,0.6614173228346457
2015-07-23,66,59,0.472
2015-07-24,49,15,0.234375
2015-07-25,101,103,0.5049019607843137
2015-07-26,32,15,0.3191489361702128
2015-07-27,73,97,0.5705882352941176
2015-07-28,28,6,0.17647058823529413
2015-07-29,34,16,0.32
2015-07-30,41,58,0.5858585858585859
2015-07-31,51,18,0.2608695652173913
2015-08-01,60,50,0.45454545454545453
2015-08-02,43,7,0.14
2015-08-03,73,110,0.6010928961748634
2015-08-04,39,12,0.23529411764705882
2015-08-05,90,64,0.4155844155844156
2015-08-06,48,27,0.36
2015-08-07,77,56,0.42105263157894735
2015-08-08,106,100,0.4854368932038835
2015-08-09,71,14,0.16470588235294117
2015-08-10,128,79,0.38164251207729466
2015-08-11,89,28,0.23931623931623933
2015-08-12,83,50,0.37593984962406013
2015-08-13,53,54,0.5046728971962616
2015-08-14,119,210,0.6382978723404256
2015-08-15,101,89,0.46842105263157896
2015-08-16,74,24,0.24489795918367346
2015-08-17,108,80,0.425531914893617
2015-08-18,68,26,0.2765957446808511
2015-08-19,58,8,0.12121212121212122
2015-08-20,60,50,0.45454545454545453
2015-08-21,62,13,0.17333333333333334
2015-08-22,80,59,0.4244604316546763
2015-08-23,62,17,0.21518987341772153
2015-08-24,84,69,0.45098039215686275
2015-08-25,67,59,0.46825396825396826
2015-08-26,73,49,0.4016393442622951
2015-08-27,39,61,0.61
2015-08-28,59,25,0.2976190476190476
2015-08-29,89,20,0.1834862385321101
2015-08-30,49,52,0.5148514851485149
2015-08-31,79,36,0.3130434782608696
2015-09-01,82,18,0.18
2015-09-02,73,55,0.4296875
2015-09-03,89,66,0.4258064516129032
2015-09-04,150,42,0.21875
2015-09-05,95,145,0.6041666666666666
2015-09-06,127,25,0.16447368421052633
2015-09-07,92,41,0.3082706766917293
2015-09-08,70,34,0.3269230769230769
2015-09-09,137,64,0.31840796019900497
2015-09-10,64,75,0.539568345323741
2015-09-11,133,79,0.37264150943396224
2015-09-12,102,89,0.46596858638743455
2015-09-13,51,14,0.2153846153846154
2015-09-14,113,36,0.24161073825503357
2015-09-15,80,41,0.33884297520661155
2015-09-16,119,51,0.3
2015-09-17,137,194,0.5861027190332326
2015-09-18,137,203,0.5970588235294118
2015-09-19,119,76,0.38974358974358975
2015-09-20,87,42,0.32558139534883723
2015-09-21,147,79,0.3495575221238938
2015-09-22,87,14,0.13861386138613863
2015-09-23,114,45,0.2830188679245283
2015-09-24,96,120,0.5555555555555556
2015-09-25,152,123,0.44727272727272727
2015-09-26,84,114,0.5757575757575758
2015-09-27,51,18,0.2608695652173913
2015-09-28,64,43,0.40186915887850466
2015-09-29,64,47,0.42342342342342343
2015-09-30,104,101,0.4926829268292683
2015-10-01,87,34,0.2809917355371901
2015-10-02,183,21,0.10294117647058823
2015-10-03,60,151,0.7156398104265402
2015-10-04,115,70,0.3783783783783784
2015-10-05,108,115,0.515695067264574
2015-10-06,110,69,0.3854748603351955
2015-10-07,132,58,0.30526315789473685
2015-10-08,84,80,0.4878048780487805
2015-10-09,132,78,0.37142857142857144
2015-10-10,131,119,0.476
2015-10-11,68,34,0.3333333333333333
2015-10-12,161,47,0.22596153846153846
2015-10-13,90,8,0.08163265306122448
2015-10-14,69,4,0.0547945205479452
2015-10-15,188,67,0.2627450980392157
2015-10-16,134,222,0.6235955056179775
2015-10-17,62,68,0.5230769230769231
2015-10-18,98,18,0.15517241379310345
2015-10-19,170,59,0.2576419213973799
2015-10-20,94,15,0.13761467889908258
2015-10-21,103,28,0.21374045801526717
2015-10-22,76,12,0.13636363636363635
2015-10-23,86,13,0.13131313131313133
2015-10-24,61,99,0.61875
2015-10-25,135,13,0.08783783783783784
2015-10-26,61,36,0.3711340206185567
2015-10-27,52,1,0.018867924528301886
2015-10-28,133,8,0.05673758865248227
2015-10-29,76,54,0.4153846153846154
2015-10-30,68,38,0.3584905660377358
2015-10-31,98,93,0.4869109947643979
2015-11-01,49,8,0.14035087719298245
2015-11-02,55,22,0.2857142857142857
2015-11-03,65,5,0.07142857142857142
2015-11-04,45,24,0.34782608695652173
2015-11-05,55,5,0.08333333333333333
2015-11-06,84,17,0.16831683168316833
2015-11-07,80,31,0.27927927927927926
2015-11-08,45,9,0.16666666666666666
2015-11-09,45,37,0.45121951219512196
2015-11-10,39,11,0.22
2015-11-11,51,21,0.2916666666666667
2015-11-12,45,20,0.3076923076923077
2015-11-13,28,31,0.5254237288135594
2015-11-14,33,6,0.15384615384615385
2015-11-15,24,4,0.14285714285714285
2015-11-16,63,11,0.14864864864864866
2015-11-17,74,7,0.08641975308641975
2015-11-18,161,12,0.06936416184971098
2015-11-19,44,11,0.2
2015-11-20,133,54,0.2887700534759358
2015-11-21,81,5,0.05813953488372093
2015-11-22,36,2,0.05263157894736842
2015-11-23,140,71,0.33649289099526064
2015-11-24,65,4,0.057971014492753624
2015-11-25,42,5,0.10638297872340426
2015-11-26,49,7,0.125
2015-11-27,114,18,0.13636363636363635
2015-11-28,47,14,0.22950819672131148
2015-11-29,15,5,0.25
2015-11-30,47,9,0.16071428571428573
2015-12-01,45,12,0.21052631578947367
2015-12-02,52,6,0.10344827586206896
2015-12-03,59,24,0.2891566265060241
2015-12-04,76,47,0.3821138211382114
2015-12-05,255,193,0.43080357142857145
2015-12-06,44,19,0.30158730158730157
2015-12-07,23,4,0.14814814814814814
2015-12-08,24,167,0.8743455497382199
2015-12-09,68,84,0.5526315789473685
2015-12-10,78,3,0.037037037037037035
2015-12-11,43,7,0.14
2015-12-12,40,3,0.06976744186046512
2015-12-13,15,4,0.21052631578947367
2015-12-14,36,3,0.07692307692307693
2015-12-15,26,3,0.10344827586206896
2015-12-16,41,2,0.046511627906976744
2015-12-17,43,6,0.12244897959183673
2015-12-18,42,5,0.10638297872340426
2015-12-19,54,35,0.39325842696629215
2015-12-20,28,10,0.2631578947368421
2015-12-21,38,9,0.19148936170212766
2015-12-22,55,17,0.2361111111111111
2015-12-23,54,9,0.14285714285714285
2015-12-24,69,21,0.23333333333333334
2015-12-25,40,28,0.4117647058823529
2015-12-26,84,28,0.25
2015-12-27,83,40,0.3252032520325203
2015-12-28,74,26,0.26
2015-12-29,101,54,0.34838709677419355
2015-12-30,171,67,0.2815126050420168
2015-12-31,86,37,0.3008130081300813
2016-01-01,33,11,0.25
2016-01-02,119,64,0.34972677595628415
2016-01-03,44,18,0.2903225806451613
2016-01-04,66,11,0.14285714285714285
2016-01-05,38,9,0.19148936170212766
2016-01-06,44,5,0.10204081632653061
2016-01-07,41,8,0.16326530612244897
2016-01-08,47,12,0.2033898305084746
2016-01-09,42,12,0.2222222222222222
2016-01-10,39,7,0.15217391304347827
2016-01-11,39,1,0.025
2016-01-12,54,15,0.21739130434782608
2016-01-13,41,7,0.14583333333333334
2016-01-14,78,18,0.1875
2016-01-15,66,17,0.20481927710843373
2016-01-16,53,14,0.208955223880597
2016-01-17,31,6,0.16216216216216217
2016-01-18,49,11,0.18333333333333332
2016-01-19,109,38,0.2585034013605442
2016-01-20,56,8,0.125
2016-01-21,55,6,0.09836065573770492
2016-01-22,49,85,0.6343283582089553
2016-01-23,62,8,0.11428571428571428
2016-01-24,31,5,0.1388888888888889
2016-01-25,64,15,0.189873417721519
2016-01-26,60,9,0.13043478260869565
2016-01-27,70,85,0.5483870967741935
2016-01-28,67,19,0.22093023255813954
2016-01-29,67,19,0.22093023255813954
2016-01-30,47,11,0.1896551724137931
2016-01-31,30,3,0.09090909090909091
2016-02-01,48,14,0.22580645161290322
2016-02-02,50,17,0.2537313432835821
2016-02-03,70,14,0.16666666666666666
2016-02-04,86,19,0.18095238095238095
2016-02-05,100,26,0.20634920634920634
2016-02-06,166,53,0.2420091324200913
2016-02-07,88,41,0.3178294573643411
