week,stays,cancellations,cancellationRate
1,694,353,0.33715377268385865
2,823,395,0.3243021346469622
3,984,335,0.2539802880970432
4,981,506,0.3402824478816409
5,962,425,0.3064167267483778
6,1123,385,0.2553050397877984
7,1425,684,0.32432432432432434
8,1423,793,0.35785198555956677
9,1393,724,0.34199338686820974
10,1412,737,0.3429502093997208
11,1452,618,0.2985507246376812
12,1453,630,0.30244839174267885
13,1534,882,0.3650662251655629
14,1432,832,0.3674911660777385
15,1642,1047,0.3893640758646337
16,1429,976,0.40582120582120584
17,1621,1184,0.4221033868092692
18,1612,1314,0.44907723855092274
19,1539,863,0.35928393005828474
20,1567,1218,0.43734290843806106
21,1794,1060,0.37140854940434476
22,1530,1016,0.399057344854674
23,1551,1070,0.4082411293399466
24,1475,1023,0.4095276220976781
25,1422,1241,0.46601577168606834
26,1530,861,0.3601003764115433
27,1679,985,0.3697447447447447
28,1804,1049,0.367683140553803
29,1747,1016,0.3677162504524068
30,1844,1243,0.4026563006154843
31,1746,995,0.36300620211601603
32,1879,1166,0.38292282430213465
33,2075,1505,0.420391061452514
34,1996,1044,0.34342105263157896
35,1670,923,0.3559583494022368
36,1354,813,0.37517305029995385
37,1353,876,0.39300134589502017
38,1622,1039,0.3904547162720782
39,1594,987,0.3824099186361875
40,1398,999,0.4167709637046308
41,1613,1086,0.40237124861059653
42,1681,1075,0.3900580551523948
43,1453,899,0.3822278911564626
44,1527,745,0.3279049295774648
45,1180,761,0.39206594538897477
46,985,589,0.3742058449809403
47,1309,376,0.22314540059347182
48,1129,375,0.24933510638297873
49,1117,665,0.37317620650953987
50,908,597,0.3966777408637874
51,687,246,0.26366559485530544
52,841,354,0.29623430962343095
53,1172,644,0.35462555066079293
