country,a2015,a2016,a2017,January,February,March,April,May,June,July,August,September,October,November,December
PRT,13307,22321,12962,2662,3666,3726,4034,4317,4375,4905,5154,4769,4908,3016,3058
GBR,1356,5585,5188,367,793,988,1147,1557,1378,1336,1201,1136,1325,520,381
FRA,1348,5165,3902,419,811,973,1074,1147,816,783,1309,789,948,713,633
ESP,1932,4024,2612,466,692,761,670,391,417,921,1705,578,590,442,935
DEU,524,3865,2898,216,288,683,893,873,801,832,859,582,740,292,228
ITA,547,1906,1313,303,204,308,399,295,204,342,663,348,225,197,278
IRL,485,1487,1403,99,121,238,337,495,436,370,319,372,357,121,110
BEL,211,1133,998,87,115,193,251,261,190,374,274,201,198,121,77
NLD,200,1100,804,104,156,201,240,203,203,217,236,148,166,150,80
BRA,149,1065,1010,230,163,185,215,253,170,237,141,144,142,115,229
USA,180,963,954,90,73,150,181,258,269,291,291,185,159,68,82
CHE,135,856,739,37,115,117,188,230,171,263,176,117,155,86,75
AUT,109,666,488,27,64,125,168,257,112,124,108,61,102,57,58
CHN,39,526,434,100,143,92,84,85,77,83,80,83,67,56,49
POL,95,524,300,61,46,85,134,63,117,77,88,67,63,91,27
SWE,129,511,384,23,22,68,123,77,123,145,76,106,174,49,38
CN,132,509,638,20,31,102,56,183,148,262,158,179,100,24,16
NULL,133,272,83,55,56,55,44,12,12,33,21,41,65,42,52
ISR,125,266,278,6,7,104,97,56,81,46,91,29,125,22,5
NOR,45,262,300,15,12,21,60,75,80,154,62,39,46,42,1
RUS,100,253,279,58,22,42,70,47,54,73,123,50,46,27,20
ROU,51,244,205,22,28,27,32,47,39,88,95,26,36,36,24
FIN,43,238,166,21,37,55,68,32,45,55,19,17,39,37,22
AGO,50,187,125,75,52,27,20,22,23,13,33,35,13,29,20
DNK,39,181,215,9,28,43,31,38,43,106,42,35,30,19,11
AUS,27,166,233,36,20,15,29,60,64,67,58,35,20,14,8
TUR,26,151,71,30,10,33,17,28,26,10,23,19,22,17,13
MAR,20,132,107,21,40,11,17,9,4,31,80,15,4,15,12
LUX,30,122,135,4,12,29,25,24,30,42,48,17,25,17,14
ARG,14,111,89,21,8,15,22,47,35,23,13,9,11,7,3
HUN,20,109,101,4,15,38,18,14,24,30,18,13,23,25,8
JPN,25,97,75,15,18,16,6,15,22,17,27,18,14,9,20
CZE,28,93,50,5,7,12,10,13,11,19,35,18,21,17,3
SRB,5,80,16,2,2,3,5,6,68,4,1,2,5,1,2
IND,20,78,54,6,7,8,24,22,13,14,3,8,11,27,9
GRC,25,61,42,11,4,12,16,11,5,10,11,14,12,13,9
KOR,12,57,64,22,17,5,9,20,16,8,5,10,7,9,5
EST,3,51,29,6,3,7,14,5,4,6,4,19,6,7,2
DZA,26,49,28,6,4,19,9,4,3,5,14,1,22,8,8
HRV,8,48,44,7,10,8,8,15,18,3,7,4,4,13,3
